section,arm,metric,clause_type,condition,k,labeling,value,n,extra
ct1_8,jev,accuracy,8,B,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,jev,accuracy,8,C,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,jev,accuracy,8,SHUFFLE,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,haiku,accuracy,1,A,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,haiku,accuracy,1,B,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,haiku,accuracy,1,C,,,0.9722222222222222,180,"ci=[0.9444,0.9944]"
ct1_8,haiku,accuracy,1,SHUFFLE,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,haiku,accuracy,2,A,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,haiku,accuracy,2,B,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,haiku,accuracy,2,C,,,0.9833333333333333,180,"ci=[0.9611,1.0000]"
ct1_8,haiku,accuracy,2,SHUFFLE,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,haiku,accuracy,3,A,,,0.9277777777777778,180,"ci=[0.8889,0.9611]"
ct1_8,haiku,accuracy,3,B,,,0.9277777777777778,180,"ci=[0.8889,0.9611]"
ct1_8,haiku,accuracy,3,C,,,0.9222222222222223,180,"ci=[0.8833,0.9611]"
ct1_8,haiku,accuracy,3,SHUFFLE,,,0.9166666666666666,180,"ci=[0.8722,0.9556]"
ct1_8,haiku,accuracy,4,A,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,haiku,accuracy,4,B,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,haiku,accuracy,4,C,,,0.9888888888888889,180,"ci=[0.9722,1.0000]"
ct1_8,haiku,accuracy,4,SHUFFLE,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,haiku,accuracy,5,A,,,0.8277777777777777,180,"ci=[0.7722,0.8833]"
ct1_8,haiku,accuracy,5,B,,,0.8222222222222222,180,"ci=[0.7667,0.8778]"
ct1_8,haiku,accuracy,5,C,,,0.8111111111111111,180,"ci=[0.7554,0.8667]"
ct1_8,haiku,accuracy,5,SHUFFLE,,,0.8111111111111111,180,"ci=[0.7500,0.8667]"
ct1_8,haiku,accuracy,6,A,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,haiku,accuracy,6,B,,,0.9944444444444445,180,"ci=[0.9833,1.0000]"
ct1_8,haiku,accuracy,6,C,,,0.9611111111111111,180,"ci=[0.9278,0.9889]"
ct1_8,haiku,accuracy,6,SHUFFLE,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,haiku,accuracy,7,A,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,haiku,accuracy,7,B,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,haiku,accuracy,7,C,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,haiku,accuracy,7,SHUFFLE,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,haiku,accuracy,8,A,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,haiku,accuracy,8,B,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,haiku,accuracy,8,C,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,haiku,accuracy,8,SHUFFLE,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,nli-bart,accuracy,1,A,,,1.0,60,"ci=[1.0000,1.0000]"
ct1_8,nli-bart,accuracy,1,B,,,0.3,60,"ci=[0.1833,0.4167]"
ct1_8,nli-bart,accuracy,1,C,,,0.0,60,"ci=[0.0000,0.0000]"
ct1_8,nli-bart,accuracy,1,SHUFFLE,,,0.5166666666666667,60,"ci=[0.3996,0.6333]"
ct1_8,nli-bart,accuracy,2,A,,,0.65,60,"ci=[0.5333,0.7667]"
ct1_8,nli-bart,accuracy,2,B,,,0.5666666666666667,60,"ci=[0.4333,0.7000]"
ct1_8,nli-bart,accuracy,2,C,,,0.35,60,"ci=[0.2333,0.4833]"
ct1_8,nli-bart,accuracy,2,SHUFFLE,,,0.43333333333333335,60,"ci=[0.3000,0.5667]"
ct1_8,nli-bart,accuracy,3,A,,,0.36666666666666664,60,"ci=[0.2500,0.4833]"
ct1_8,nli-bart,accuracy,3,B,,,0.36666666666666664,60,"ci=[0.2500,0.5000]"
ct1_8,nli-bart,accuracy,3,C,,,0.2833333333333333,60,"ci=[0.1667,0.4000]"
ct1_8,nli-bart,accuracy,3,SHUFFLE,,,0.3,60,"ci=[0.1833,0.4167]"
ct1_8,nli-bart,accuracy,4,A,,,0.5833333333333334,60,"ci=[0.4667,0.7000]"
ct1_8,nli-bart,accuracy,4,B,,,0.5,60,"ci=[0.3667,0.6333]"
ct1_8,nli-bart,accuracy,4,C,,,0.4166666666666667,60,"ci=[0.3000,0.5500]"
ct1_8,nli-bart,accuracy,4,SHUFFLE,,,0.5,60,"ci=[0.3833,0.6167]"
ct1_8,nli-bart,accuracy,5,A,,,0.5,60,"ci=[0.3833,0.6167]"
ct1_8,nli-bart,accuracy,5,B,,,0.48333333333333334,60,"ci=[0.3500,0.6000]"
ct1_8,nli-bart,accuracy,5,C,,,0.5,60,"ci=[0.3667,0.6333]"
ct1_8,nli-bart,accuracy,5,SHUFFLE,,,0.5166666666666667,60,"ci=[0.4000,0.6337]"
ct1_8,nli-bart,accuracy,6,A,,,0.4666666666666667,60,"ci=[0.3333,0.6000]"
ct1_8,nli-bart,accuracy,6,B,,,0.5,60,"ci=[0.3667,0.6333]"
ct1_8,nli-bart,accuracy,6,C,,,0.5333333333333333,60,"ci=[0.4167,0.6667]"
ct1_8,nli-bart,accuracy,6,SHUFFLE,,,0.5,60,"ci=[0.3667,0.6333]"
ct1_8,nli-bart,accuracy,7,A,,,0.2833333333333333,60,"ci=[0.1833,0.4000]"
ct1_8,nli-bart,accuracy,7,B,,,0.35,60,"ci=[0.2333,0.4833]"
ct1_8,nli-bart,accuracy,7,C,,,0.36666666666666664,60,"ci=[0.2500,0.4833]"
ct1_8,nli-bart,accuracy,7,SHUFFLE,,,0.35,60,"ci=[0.2333,0.4667]"
ct1_8,nli-bart,accuracy,8,A,,,0.8,60,"ci=[0.7000,0.9000]"
ct1_8,nli-bart,accuracy,8,B,,,0.38333333333333336,60,"ci=[0.2667,0.5000]"
ct1_8,nli-bart,accuracy,8,C,,,0.1,60,"ci=[0.0333,0.1833]"
ct1_8,nli-bart,accuracy,8,SHUFFLE,,,0.3,60,"ci=[0.2000,0.4167]"
ct1_8,emb-bge,accuracy,1,A,,,0.7666666666666667,60,"ci=[0.6663,0.8667]"
ct1_8,emb-bge,accuracy,1,B,,,0.35,60,"ci=[0.2333,0.4671]"
ct1_8,emb-bge,accuracy,1,C,,,0.06666666666666667,60,"ci=[0.0167,0.1333]"
ct1_8,emb-bge,accuracy,1,SHUFFLE,,,0.2833333333333333,60,"ci=[0.1667,0.4000]"
ct1_8,emb-bge,accuracy,2,A,,,0.5333333333333333,60,"ci=[0.4167,0.6667]"
ct1_8,emb-bge,accuracy,2,B,,,0.36666666666666664,60,"ci=[0.2500,0.4833]"
ct1_8,emb-bge,accuracy,2,C,,,0.4666666666666667,60,"ci=[0.3500,0.5833]"
ct1_8,emb-bge,accuracy,2,SHUFFLE,,,0.6333333333333333,60,"ci=[0.5000,0.7500]"
ct1_8,emb-bge,accuracy,3,A,,,0.4666666666666667,60,"ci=[0.3333,0.5833]"
ct1_8,emb-bge,accuracy,3,B,,,0.31666666666666665,60,"ci=[0.2000,0.4333]"
ct1_8,emb-bge,accuracy,3,C,,,0.21666666666666667,60,"ci=[0.1167,0.3167]"
ct1_8,emb-bge,accuracy,3,SHUFFLE,,,0.5,60,"ci=[0.3667,0.6333]"
ct1_8,emb-bge,accuracy,4,A,,,0.5166666666666667,60,"ci=[0.3833,0.6500]"
ct1_8,emb-bge,accuracy,4,B,,,0.5,60,"ci=[0.3667,0.6333]"
ct1_8,emb-bge,accuracy,4,C,,,0.48333333333333334,60,"ci=[0.3667,0.6167]"
ct1_8,emb-bge,accuracy,4,SHUFFLE,,,0.5,60,"ci=[0.3667,0.6333]"
ct1_8,emb-bge,accuracy,5,A,,,0.55,60,"ci=[0.4167,0.6833]"
ct1_8,emb-bge,accuracy,5,B,,,0.48333333333333334,60,"ci=[0.3667,0.6167]"
ct1_8,emb-bge,accuracy,5,C,,,0.45,60,"ci=[0.3333,0.5667]"
ct1_8,emb-bge,accuracy,5,SHUFFLE,,,0.5166666666666667,60,"ci=[0.3833,0.6333]"
ct1_8,emb-bge,accuracy,6,A,,,0.4666666666666667,60,"ci=[0.3333,0.6000]"
ct1_8,emb-bge,accuracy,6,B,,,0.5166666666666667,60,"ci=[0.3833,0.6333]"
ct1_8,emb-bge,accuracy,6,C,,,0.5333333333333333,60,"ci=[0.4163,0.6500]"
ct1_8,emb-bge,accuracy,6,SHUFFLE,,,0.48333333333333334,60,"ci=[0.3667,0.6004]"
ct1_8,emb-bge,accuracy,7,A,,,0.26666666666666666,60,"ci=[0.1667,0.3833]"
ct1_8,emb-bge,accuracy,7,B,,,0.26666666666666666,60,"ci=[0.1500,0.3833]"
ct1_8,emb-bge,accuracy,7,C,,,0.3,60,"ci=[0.2000,0.4167]"
ct1_8,emb-bge,accuracy,7,SHUFFLE,,,0.4,60,"ci=[0.2833,0.5167]"
ct1_8,emb-bge,accuracy,8,A,,,0.75,60,"ci=[0.6333,0.8500]"
ct1_8,emb-bge,accuracy,8,B,,,0.2833333333333333,60,"ci=[0.1667,0.4000]"
ct1_8,emb-bge,accuracy,8,C,,,0.08333333333333333,60,"ci=[0.0167,0.1500]"
ct1_8,emb-bge,accuracy,8,SHUFFLE,,,0.4166666666666667,60,"ci=[0.2833,0.5333]"
ct1_8,openjev,accuracy,1,A,,,0.9888888888888889,180,"ci=[0.9722,1.0000]"
ct1_8,openjev,accuracy,1,B,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,openjev,accuracy,1,C,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,openjev,accuracy,1,SHUFFLE,,,0.9444444444444444,180,"ci=[0.9111,0.9722]"
ct1_8,openjev,accuracy,2,A,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,openjev,accuracy,2,B,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,openjev,accuracy,2,C,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,openjev,accuracy,2,SHUFFLE,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,openjev,accuracy,3,A,,,0.9722222222222222,180,"ci=[0.9444,0.9944]"
ct1_8,openjev,accuracy,3,B,,,0.9555555555555556,180,"ci=[0.9222,0.9833]"
ct1_8,openjev,accuracy,3,C,,,0.95,180,"ci=[0.9167,0.9778]"
ct1_8,openjev,accuracy,3,SHUFFLE,,,0.9833333333333333,180,"ci=[0.9611,1.0000]"
ct1_8,openjev,accuracy,4,A,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,openjev,accuracy,4,B,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,openjev,accuracy,4,C,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,openjev,accuracy,4,SHUFFLE,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,openjev,accuracy,5,A,,,0.9166666666666666,180,"ci=[0.8778,0.9556]"
ct1_8,openjev,accuracy,5,B,,,0.8888888888888888,180,"ci=[0.8389,0.9333]"
ct1_8,openjev,accuracy,5,C,,,0.9166666666666666,180,"ci=[0.8722,0.9556]"
ct1_8,openjev,accuracy,5,SHUFFLE,,,0.9166666666666666,180,"ci=[0.8722,0.9556]"
ct1_8,openjev,accuracy,6,A,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,openjev,accuracy,6,B,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,openjev,accuracy,6,C,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,openjev,accuracy,6,SHUFFLE,,,0.9833333333333333,180,"ci=[0.9611,1.0000]"
ct1_8,openjev,accuracy,7,A,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,openjev,accuracy,7,B,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,openjev,accuracy,7,C,,,0.4,180,"ci=[0.3278,0.4722]"
ct1_8,openjev,accuracy,7,SHUFFLE,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,openjev,accuracy,8,A,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,openjev,accuracy,8,B,,,0.9944444444444445,180,"ci=[0.9833,1.0000]"
ct1_8,openjev,accuracy,8,C,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,openjev,accuracy,8,SHUFFLE,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,jev,overall_accuracy,,,,,0.9883680555555555,5760,"ci=[0.9856,0.9910]"
ct1_8,haiku,overall_accuracy,,,,,0.9645833333333333,5760,"ci=[0.9597,0.9694]"
ct1_8,nli-bart,overall_accuracy,,,,,0.4395833333333333,1920,"ci=[0.4182,0.4610]"
ct1_8,emb-bge,overall_accuracy,,,,,0.42916666666666664,1920,"ci=[0.4068,0.4510]"
ct1_8,openjev,overall_accuracy,,,,,0.9628472222222222,5760,"ci=[0.9580,0.9677]"
ct1_8,jev,shuffle_delta,1,,,,0.0,,b=1.0000 shuffle=1.0000
ct1_8,jev,shuffle_delta,2,,,,0.0,,b=1.0000 shuffle=1.0000
ct1_8,jev,shuffle_delta,3,,,,0.0,,b=1.0000 shuffle=1.0000
ct1_8,jev,shuffle_delta,4,,,,0.0,,b=1.0000 shuffle=1.0000
ct1_8,jev,shuffle_delta,5,,,,0.01666666666666672,,b=0.9222 shuffle=0.9056
ct1_8,jev,shuffle_delta,6,,,,0.0,,b=1.0000 shuffle=1.0000
ct1_8,jev,shuffle_delta,7,,,,0.0,,b=1.0000 shuffle=1.0000
ct1_8,jev,shuffle_delta,8,,,,0.0,,b=1.0000 shuffle=1.0000
ct1_8,haiku,shuffle_delta,1,,,,0.0,,b=1.0000 shuffle=1.0000
ct1_8,haiku,shuffle_delta,2,,,,0.0,,b=1.0000 shuffle=1.0000
ct1_8,haiku,shuffle_delta,3,,,,0.011111111111111183,,b=0.9278 shuffle=0.9167
ct1_8,haiku,shuffle_delta,4,,,,0.0,,b=1.0000 shuffle=1.0000
ct1_8,haiku,shuffle_delta,5,,,,0.011111111111111072,,b=0.8222 shuffle=0.8111
ct1_8,haiku,shuffle_delta,6,,,,-0.005555555555555536,,b=0.9944 shuffle=1.0000
ct1_8,haiku,shuffle_delta,7,,,,0.0,,b=1.0000 shuffle=1.0000
ct1_8,haiku,shuffle_delta,8,,,,0.0,,b=1.0000 shuffle=1.0000
ct1_8,nli-bart,shuffle_delta,1,,,,-0.21666666666666673,,b=0.3000 shuffle=0.5167
ct1_8,nli-bart,shuffle_delta,2,,,,0.1333333333333333,,b=0.5667 shuffle=0.4333
ct1_8,nli-bart,shuffle_delta,3,,,,0.06666666666666665,,b=0.3667 shuffle=0.3000
ct1_8,nli-bart,shuffle_delta,4,,,,0.0,,b=0.5000 shuffle=0.5000
ct1_8,nli-bart,shuffle_delta,5,,,,-0.03333333333333338,,b=0.4833 shuffle=0.5167
ct1_8,nli-bart,shuffle_delta,6,,,,0.0,,b=0.5000 shuffle=0.5000
ct1_8,nli-bart,shuffle_delta,7,,,,0.0,,b=0.3500 shuffle=0.3500
ct1_8,nli-bart,shuffle_delta,8,,,,0.08333333333333337,,b=0.3833 shuffle=0.3000
ct1_8,emb-bge,shuffle_delta,1,,,,0.06666666666666665,,b=0.3500 shuffle=0.2833
ct1_8,emb-bge,shuffle_delta,2,,,,-0.26666666666666666,,b=0.3667 shuffle=0.6333
ct1_8,emb-bge,shuffle_delta,3,,,,-0.18333333333333335,,b=0.3167 shuffle=0.5000
ct1_8,emb-bge,shuffle_delta,4,,,,0.0,,b=0.5000 shuffle=0.5000
ct1_8,emb-bge,shuffle_delta,5,,,,-0.03333333333333338,,b=0.4833 shuffle=0.5167
ct1_8,emb-bge,shuffle_delta,6,,,,0.03333333333333338,,b=0.5167 shuffle=0.4833
ct1_8,emb-bge,shuffle_delta,7,,,,-0.13333333333333336,,b=0.2667 shuffle=0.4000
ct1_8,emb-bge,shuffle_delta,8,,,,-0.13333333333333336,,b=0.2833 shuffle=0.4167
ct1_8,openjev,shuffle_delta,1,,,,0.05555555555555558,,b=1.0000 shuffle=0.9444
ct1_8,openjev,shuffle_delta,2,,,,0.0,,b=1.0000 shuffle=1.0000
ct1_8,openjev,shuffle_delta,3,,,,-0.02777777777777768,,b=0.9556 shuffle=0.9833
ct1_8,openjev,shuffle_delta,4,,,,0.0,,b=1.0000 shuffle=1.0000
ct1_8,openjev,shuffle_delta,5,,,,-0.02777777777777779,,b=0.8889 shuffle=0.9167
ct1_8,openjev,shuffle_delta,6,,,,0.01666666666666672,,b=1.0000 shuffle=0.9833
ct1_8,openjev,shuffle_delta,7,,,,0.0,,b=1.0000 shuffle=1.0000
ct1_8,openjev,shuffle_delta,8,,,,-0.005555555555555536,,b=0.9944 shuffle=1.0000
ct1_8,jev,raw_ece,,,,,0.0331375000000001,4800,
ct1_8,jev,fitted_ece,,,,,0.01116817920359478,4800,T=0.20
ct1_8,haiku,raw_ece,,,,,0.00981666666666664,4800,
ct1_8,haiku,fitted_ece,,,,,0.009816493541666613,4800,T=1.00
ct1_8,openjev,raw_ece,,,,,0.07950098233076475,4800,
ct1_8,openjev,fitted_ece,,,,,0.05140461162227801,4800,T=0.50
ct1_8,jev,confidence_at_errors,,,,,0.43343283582089553,67,
ct1_8,jev,confidence_at_correct,,,,,0.9597049007553136,5693,
ct1_8,haiku,confidence_at_errors,,,,,0.9760294117647058,204,
ct1_8,haiku,confidence_at_correct,,,,,0.9708405327573794,5556,
ct1_8,nli-bart,confidence_at_errors,,,,,0.47179679453483747,1076,
ct1_8,nli-bart,confidence_at_correct,,,,,0.4991551665545075,844,
ct1_8,emb-bge,confidence_at_errors,,,,,0.4181818207793862,1096,
ct1_8,emb-bge,confidence_at_correct,,,,,0.44287417630113446,824,
ct1_8,openjev,confidence_at_errors,,,,,0.39582828646815316,214,
ct1_8,openjev,confidence_at_correct,,,,,0.9009064506859213,5546,
ct1_8,jev,disagreement_rate,,,,,0.0026041666666666665,1920,
ct1_8,haiku,disagreement_rate,,,,,0.014583333333333334,1920,
ct1_8,nli-bart,disagreement_rate,,,,,0.0,1920,
ct1_8,emb-bge,disagreement_rate,,,,,0.0,1920,
ct1_8,openjev,disagreement_rate,,,,,0.008333333333333333,1920,
ct1_8,jev,avg_latency_ms,,,,,193.6854251595125,5760,
ct1_8,jev,total_cost_usd,,,,,0.18093978000000052,5760,per_doc=$0.000031
ct1_8,haiku,avg_latency_ms,,,,,762.9404713714798,5760,
ct1_8,haiku,total_cost_usd,,,,,9.178637999999996,5760,per_doc=$0.001594
ct1_8,nli-bart,avg_latency_ms,,,,,198.2181570836676,1440,
ct1_8,nli-bart,total_cost_usd,,,,,0.0,1440,per_doc=$0.000000
ct1_8,emb-bge,avg_latency_ms,,,,,66.53671333543672,1440,
ct1_8,emb-bge,total_cost_usd,,,,,0.0,1440,per_doc=$0.000000
ct1_8,openjev,avg_latency_ms,,,,,607.1860606630758,5760,
ct1_8,openjev,total_cost_usd,,,,,0.0,5760,per_doc=$0.000000
ct9,jev,end_to_end_accuracy,,,1,semantic,0.75,180,"ci=[0.6889,0.8167]"
ct9,jev,end_to_end_accuracy,,,2,semantic,0.7111111111111111,180,"ci=[0.6444,0.7778]"
ct9,jev,end_to_end_accuracy,,,5,semantic,0.3111111111111111,180,"ci=[0.2389,0.3778]"
ct9,jev,end_to_end_accuracy,,,10,opaque,0.3388888888888889,180,"ci=[0.2722,0.4111]"
ct9,jev,end_to_end_accuracy,,,10,semantic,0.29444444444444445,180,"ci=[0.2278,0.3611]"
ct9,haiku,end_to_end_accuracy,,,1,semantic,0.5777777777777777,180,"ci=[0.5110,0.6500]"
ct9,haiku,end_to_end_accuracy,,,2,semantic,0.5333333333333333,180,"ci=[0.4611,0.6056]"
ct9,haiku,end_to_end_accuracy,,,5,semantic,0.31666666666666665,180,"ci=[0.2500,0.3889]"
ct9,haiku,end_to_end_accuracy,,,10,opaque,0.31666666666666665,180,"ci=[0.2500,0.3889]"
ct9,haiku,end_to_end_accuracy,,,10,semantic,0.31666666666666665,180,"ci=[0.2500,0.3835]"
ct9,openjev,end_to_end_accuracy,,,1,semantic,0.42777777777777776,180,"ci=[0.3556,0.5000]"
ct9,openjev,end_to_end_accuracy,,,2,semantic,0.25555555555555554,180,"ci=[0.1944,0.3222]"
ct9,openjev,end_to_end_accuracy,,,5,semantic,0.19444444444444445,180,"ci=[0.1389,0.2556]"
ct9,openjev,end_to_end_accuracy,,,10,opaque,0.20555555555555555,180,"ci=[0.1500,0.2667]"
ct9,openjev,end_to_end_accuracy,,,10,semantic,0.15555555555555556,180,"ci=[0.1000,0.2111]"
ct9,jev,local_step_accuracy,,,1,,0.96,1800,"ci=[0.9511,0.9683]"
ct9,jev,local_step_accuracy,,,2,,0.9211111111111111,900,"ci=[0.9033,0.9389]"
ct9,jev,local_step_accuracy,,,5,,0.48333333333333334,360,"ci=[0.4333,0.5333]"
ct9,jev,local_step_accuracy,,,10,,0.31666666666666665,360,"ci=[0.2694,0.3639]"
ct9,haiku,local_step_accuracy,,,1,,0.9105555555555556,1800,"ci=[0.8967,0.9233]"
ct9,haiku,local_step_accuracy,,,2,,0.8477777777777777,900,"ci=[0.8244,0.8700]"
ct9,haiku,local_step_accuracy,,,5,,0.45555555555555555,360,"ci=[0.4056,0.5083]"
ct9,haiku,local_step_accuracy,,,10,,0.31666666666666665,360,"ci=[0.2694,0.3639]"
ct9,openjev,local_step_accuracy,,,1,,0.855,1800,"ci=[0.8389,0.8711]"
ct9,openjev,local_step_accuracy,,,2,,0.5033333333333333,900,"ci=[0.4711,0.5367]"
ct9,openjev,local_step_accuracy,,,5,,0.3638888888888889,360,"ci=[0.3139,0.4139]"
ct9,openjev,local_step_accuracy,,,10,,0.18055555555555555,360,"ci=[0.1417,0.2222]"
ct9,jev,confidence_at_local_errors,,,,,0.3996,575,
ct9,jev,confidence_at_local_correct,,,,,0.8854586994727592,2845,
ct9,haiku,confidence_at_local_errors,,,,,0.928,740,
ct9,haiku,confidence_at_local_correct,,,,,0.9764626865671642,2680,
ct9,openjev,confidence_at_local_errors,,,,,0.4844919086017872,1232,
ct9,openjev,confidence_at_local_correct,,,,,0.7022063573819106,2188,
ct9,jev,disagreement_at_k10,,,10,semantic,0.08333333333333333,60,
ct9,jev,disagreement_at_k10,,,10,opaque,0.1,60,
ct9,haiku,disagreement_at_k10,,,10,semantic,0.0,60,
ct9,haiku,disagreement_at_k10,,,10,opaque,0.0,60,
ct9,openjev,disagreement_at_k10,,,10,semantic,0.13333333333333333,60,
ct9,openjev,disagreement_at_k10,,,10,opaque,0.016666666666666666,60,
ct10,jev,exact_match_rate,,"mode=chained,with_key=False",,,0.8023333333333333,3000,"mae=0.200 ci=[0.788,0.816]"
ct10,jev,exact_match_rate,,"mode=chained,with_key=True",,,0.872,3000,"mae=0.129 ci=[0.860,0.884]"
ct10,jev,exact_match_rate,,"mode=whole_exam,with_key=False",,,0.8273333333333334,3000,"mae=0.174 ci=[0.814,0.840]"
ct10,jev,exact_match_rate,,"mode=whole_exam,with_key=True",,,0.8756666666666667,3000,"mae=0.125 ci=[0.864,0.887]"
ct10,haiku,exact_match_rate,,"mode=chained,with_key=False",,,0.8323333333333334,3000,"mae=0.169 ci=[0.819,0.845]"
ct10,haiku,exact_match_rate,,"mode=chained,with_key=True",,,0.8623333333333333,3000,"mae=0.139 ci=[0.850,0.875]"
ct10,haiku,exact_match_rate,,"mode=whole_exam,with_key=False",,,0.6826666666666666,3000,"mae=0.333 ci=[0.666,0.699]"
ct10,haiku,exact_match_rate,,"mode=whole_exam,with_key=True",,,0.7076666666666667,3000,"mae=0.301 ci=[0.691,0.724]"
ct10,openjev,exact_match_rate,,"mode=chained,with_key=False",,,0.7306666666666667,3000,"mae=0.278 ci=[0.715,0.747]"
ct10,openjev,exact_match_rate,,"mode=chained,with_key=True",,,0.7903333333333333,3000,"mae=0.219 ci=[0.776,0.804]"
ct10,openjev,exact_match_rate,,"mode=whole_exam,with_key=False",,,0.5766666666666667,3000,"mae=0.460 ci=[0.558,0.594]"
ct10,openjev,exact_match_rate,,"mode=whole_exam,with_key=True",,,0.57,3000,"mae=0.476 ci=[0.552,0.587]"
ct10,jev,total_score_mae,,"mode=chained,with_key=False",,,5.05,100,
ct10,jev,total_score_mae,,"mode=chained,with_key=True",,,3.82,100,
ct10,jev,total_score_mae,,"mode=whole_exam,with_key=False",,,4.63,100,
ct10,jev,total_score_mae,,"mode=whole_exam,with_key=True",,,3.66,100,
ct10,haiku,total_score_mae,,"mode=chained,with_key=False",,,2.9,100,
ct10,haiku,total_score_mae,,"mode=chained,with_key=True",,,3.86,100,
ct10,haiku,total_score_mae,,"mode=whole_exam,with_key=False",,,8.84,100,
